"Player_Name","player_team","Games","PositionType","kicks","handballs","disposals","disposal_efficiency_percentage","goals","behinds","hitouts","tackles","rebounds","inside_fifties","clearances","clangers","free_kicks_for","free_kicks_against","contested_possessions","uncontested_possessions","brownlow_votes","contested_marks","marks_inside_fifty","one_percenters","bounces","goal_assists","time_on_ground_percentage","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","tackles_inside_fifty","contest_def_losses","contest_def_one_on_ones","contest_off_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","hitouts_to_advantage","intercept_marks","pressure_acts","ruck_contests","score_launches","spoils"
"Zak Butters","Port Adelaide",36,"Forward",7.39,6.97,14.36,72.81,0.64,0.36,0,2.64,0.33,1.97,0.97,1.94,0.81,0.61,5.86,8.25,0,0.14,0.56,0.86,0.39,0.81,79.08,0.22,0.75,4.58,160.22,2.31,2.25,1,0.03,0.03,0.36,0,4,4.78,1.53,4.86,0,0.22,14.64,0,0.83,0.36
"Trent McKenzie","Port Adelaide",26,"Defender",10.62,2.35,12.96,82,0,0.15,0,1.38,4.08,1.04,0.12,1.65,0.69,0.65,3.69,7.42,0,0.85,0,3.38,0,0.04,88.15,0.04,0.08,1.77,320.77,2.81,4.88,0,1.15,2.92,0.04,0,4.85,8.69,0.04,2.08,0,1.69,5.69,0,0.81,2.92
"Robbie Gray","Port Adelaide",82,"Forward",9.04,10.61,19.65,68.65,1.49,0.83,0,2.73,0.57,2.71,3.34,2.66,1.28,1.02,9.43,10.52,0.37,0.61,1.45,1.35,0.45,0.8,88.12,1.39,1.98,6.5,220.66,3.15,1.99,0.8,0.01,0.04,2.34,0.62,4.56,4.94,1.68,5.66,0,0.22,13.23,0,1.13,0.46
"Charlie Dixon","Port Adelaide",70,"Forward",7.81,4.63,12.44,63.73,1.74,1.23,3.67,2.44,0.14,2.31,0.77,2.81,1.5,1.3,8.11,4.77,0.16,2.24,2.17,2.14,0.04,0.56,92.56,0.21,0.56,6.13,194.84,2.8,1.11,1.16,0,0.03,5.23,1.74,2.86,4.46,1.81,3.7,0.91,0.19,11.39,9.43,0.97,1.56
"Steven Motlop","Port Adelaide",72,"Forward",9.43,7.04,16.47,73.29,0.74,0.28,0,2.6,0.94,3.08,0.81,2.42,0.43,0.83,4.64,11.82,0.07,0.1,0.38,0.81,1.51,0.64,78.97,0.06,0.75,4.93,266.65,3.31,1.35,0.67,0.07,0.12,0.6,0.14,5.88,6.31,0.93,3.64,0,0.08,14.74,0,0.44,0.26
"Xavier Duursma","Port Adelaide",35,"Midfield",9.09,7.74,16.83,73.83,0.51,0.46,0,2.2,1.14,2.34,1.51,2.11,1.14,0.54,6.03,10.77,0,0.2,0.63,0.94,0.2,0.29,81.23,0.34,1.17,4.03,257.4,3.26,3.23,0.54,0.09,0.17,0.26,0.06,5.86,6.11,0.69,4.63,0,0.63,13.46,0,0.91,0.54
"Brad Ebert","Port Adelaide",70,"Midfield",10.73,9.23,19.96,66.26,0.53,0.54,0.03,5.9,0.93,3.59,2.76,3.21,0.81,1.09,8.37,11.83,0.23,0.59,0.44,1.91,0.1,0.67,81.9,0.86,1.86,4.79,266.56,3.69,2.76,1.01,0.04,0.17,0.84,0.19,8.17,5.97,1.09,5.37,0,0.6,19.3,0.1,1,1.01
"Tom Rockliff","Port Adelaide",72,"Midfield",13.19,10.81,24,66.14,0.4,0.21,0.03,5.33,1.4,3.25,5.18,3.19,1.06,1.11,9.86,13.57,0.15,0.07,0.32,0.79,0.01,0.35,77.79,1.68,3.5,4.6,288.51,3.99,2.28,0.94,0.04,0.1,0.24,0.1,9.54,7.28,0.89,6.69,0.01,0.17,20.17,0.06,1,0.19
"Ollie Wines","Port Adelaide",74,"Midfield",11.69,13.66,25.35,67,0.46,0.46,0.07,4.74,0.88,4.03,5.54,3.23,1.07,1.01,12.2,12.84,0.51,0.49,0.43,1.2,0.05,0.51,75.35,2.05,3.5,5.53,325.65,4.46,3,0.58,0.04,0.11,0.51,0.18,9.31,5.92,1.11,8.36,0.01,0.32,19.49,0.57,1.58,0.59
"Tom Jonas","Port Adelaide",76,"Defender",9.68,4.47,14.16,81.07,0,0.01,0,2.04,3.64,0.92,0.18,2.11,0.72,0.83,4.7,8.88,0.05,0.54,0,7.74,0,0.05,93.79,0.01,0.16,1.97,224.89,3,6.61,0.01,0.8,3.43,0.01,0.01,5.36,7.63,0,3.24,0,2.08,7.05,0,1.07,6.96
"Dan Houston","Port Adelaide",77,"Defender",11.94,6.1,18.04,77.05,0.14,0.14,0,2.92,3.49,2.17,1.17,2.21,0.64,0.62,6.01,11.03,0.04,0.47,0.1,3,0.08,0.12,81.17,0.23,0.94,3.13,295.81,3.69,5.55,0.13,0.39,1.31,0.01,0,7.53,8.66,0.17,4.45,0,1.48,11.82,0,1.31,2.17
"Hamish Hartlett","Port Adelaide",56,"Defender",10.55,6.71,17.27,77.12,0.11,0.16,0,2.62,2.7,2.3,0.79,1.8,0.96,0.52,5.73,11.09,0,0.29,0.05,2.12,0.09,0.16,80.29,0.21,0.57,3.14,277.88,2.77,6.41,0.02,0.36,1.04,0.02,0,7.07,7.5,0.05,4.38,0,1.73,10.04,0,1.11,1.61
"Todd Marshall","Port Adelaide",34,"Forward",6.09,2.47,8.56,62.38,0.97,0.65,0.12,2.35,0.18,1.97,0.06,1.38,0.91,0.38,4.09,4.59,0,0.62,1.15,1.71,0,0.5,72.15,0.03,0.03,4.29,159.32,2.09,0.97,1.29,0.03,0.03,2.09,0.53,1.94,3.65,1.06,2.26,0,0.21,10.91,0.68,0.26,1.09
