"season","round","date","Home_team","Away_team","home_score","away_score","WinningTeam","margin","BO_Diff","CCL_Diff","CG_Diff","CL_Diff","CM_Diff","CP_Diff","D_Diff","DE_Diff","FA_Diff","FF_Diff","GA_Diff","HB_Diff","I50_Diff","ITC_Diff","K_Diff","M_Diff","MG_Diff","OP_Diff","R50_Diff","SCL_Diff","SI_Diff","TO_Diff","UP_Diff","T5_Diff","Winner"
2017,"Round 9",2017-05-20,"GWS","Richmond",78,75,"GWS",3,7,3,-7,12,-14,-11,-19,4.2,1,-1,-1,5,-16,-11,-24,-20,59,6,19,9,-11,10,4,1,"HOME"
2017,"Round 9",2017-05-20,"Collingwood","Hawthorn",90,72,"Collingwood",18,0,4,3,5,2,7,51,0.600000000000009,-4,4,4,33,4,5,18,20,650,-4,4,1,27,-5,52,1,"HOME"
2017,"Round 9",2017-05-21,"Essendon","West Coast",125,64,"Essendon",61,3,8,1,6,1,31,119,0,-3,3,6,26,1,-1,93,64,969,11,11,-2,39,2,85,4,"HOME"
2017,"Round 9",2017-05-21,"Fremantle","Carlton",86,51,"Fremantle",35,-1,7,-2,8,1,12,1,-3,-3,3,3,30,9,-4,-29,-31,253,7,-3,1,17,4,-15,11,"HOME"
2017,"Round 10",2017-05-25,"Geelong","Port Adelaide",81,79,"Geelong",2,1,-2,-17,-8,0,-2,72,10.1,-9,9,1,56,14,5,16,19,-8,1,-13,-6,22,-7,74,17,"HOME"
2017,"Round 10",2017-05-27,"Western Bulldogs","St Kilda",90,50,"Western Bulldogs",40,7,1,-13,-7,-5,2,-1,0.200000000000003,-4,4,6,28,9,9,-29,-33,251,6,-1,-8,49,-9,5,-10,"HOME"
2017,"Round 10",2017-05-27,"Melbourne","Gold Coast",122,87,"Melbourne",35,1,3,-7,2,-7,16,71,-0.799999999999997,0,0,4,17,31,8,54,24,907,19,-26,-1,48,-7,65,10,"HOME"
2017,"Round 10",2017-05-27,"Richmond","Essendon",81,66,"Richmond",15,8,4,-20,-5,-5,-8,-47,-0.699999999999989,-3,3,1,-78,29,12,31,10,260,-4,-25,-9,15,-12,-43,19,"HOME"
2017,"Round 10",2017-05-27,"Adelaide","Fremantle",143,43,"Adelaide",100,6,3,-4,5,6,38,102,7.7,0,0,7,45,32,20,57,41,1876,11,-11,2,105,-20,82,10,"HOME"
2017,"Round 10",2017-05-28,"Collingwood","Brisbane",129,84,"Collingwood",45,8,1,-2,6,0,21,134,0.699999999999989,2,-2,4,57,39,11,77,45,1042,5,-27,5,106,-10,118,6,"HOME"
