"margin","BO_Diff","CCL_Diff","CG_Diff","CL_Diff","CM_Diff","CP_Diff","D_Diff","DE_Diff","FA_Diff","FF_Diff","GA_Diff","HB_Diff","I50_Diff","ITC_Diff","K_Diff","M_Diff","MG_Diff","OP_Diff","R50_Diff","SCL_Diff","SI_Diff","TO_Diff","UP_Diff","T5_Diff"
2,-2,-1,3,5,-10,-4,-22,-0.900000000000006,-7,7,-2,20,8,-6,-42,-39,-100,-2,-8,6,7,7,-17,4
5,5,0,-2,13,-7,-1,15,0.799999999999997,-3,3,1,10,-2,-10,5,-13,116,10,3,13,-13,9,17,-4
22,10,9,12,-3,-3,6,-76,-1.2,2,-2,1,-24,23,7,-52,-38,32,0,-19,-12,10,-8,-71,20
73,0,-8,-12,0,7,18,66,3.8,2,-2,6,38,18,3,28,12,1295,0,-6,8,49,-4,45,-6
43,3,-1,-19,-2,-2,-11,37,6.4,-5,5,6,31,29,11,6,1,948,0,-23,-1,53,-11,36,14
16,7,-2,2,7,7,24,5,-2.90000000000001,4,-4,-1,-12,12,9,17,-5,265,5,-8,9,30,-10,-17,4
19,-9,0,5,-5,10,15,0,-2.60000000000001,1,-1,3,-19,2,2,19,7,193,-10,1,-5,-32,-2,-18,0
5,6,5,-18,-14,-5,-8,7,0.599999999999994,-9,9,1,0,9,12,7,20,-170,3,-11,-19,19,-12,14,12
58,2,6,-17,-3,4,34,146,6.7,-5,5,6,56,22,18,90,70,896,5,-10,-9,84,-17,117,-8
39,4,-3,1,-4,9,25,86,4,1,-1,0,51,13,13,35,35,587,-12,-8,-1,52,-13,73,4
5,0,4,-5,-2,-7,31,16,-3.59999999999999,-3,3,0,-9,13,4,25,-1,265,-12,-11,-6,14,-4,-7,-7
44,-7,0,14,5,5,13,62,4.39999999999999,4,-4,6,4,-20,0,58,47,277,15,29,5,43,0,40,-3
22,6,-1,-10,11,5,42,25,-1.40000000000001,-10,10,6,8,36,15,17,-2,738,-21,-31,12,33,-15,2,5
