"Player_Name","player_team","Games","PositionType","kicks","handballs","disposals","disposal_efficiency_percentage","goals","behinds","hitouts","tackles","rebounds","inside_fifties","clearances","clangers","free_kicks_for","free_kicks_against","contested_possessions","uncontested_possessions","brownlow_votes","contested_marks","marks_inside_fifty","one_percenters","bounces","goal_assists","time_on_ground_percentage","centre_clearances","stoppage_clearances","score_involvements","metres_gained","turnovers","intercepts","tackles_inside_fifty","contest_def_losses","contest_def_one_on_ones","contest_off_one_on_ones","contest_off_wins","def_half_pressure_acts","effective_kicks","f50_ground_ball_gets","ground_ball_gets","hitouts_to_advantage","intercept_marks","pressure_acts","ruck_contests","score_launches","spoils"
"Jesse Lonergan","Gold Coast",14,"Interchange",6.43,10.79,17.21,72.07,0.14,0,0,4.29,1.07,2,3.14,2.36,0.71,1.07,7.93,9.5,0,0,0.14,1.36,0.29,0.57,75.07,1,2.14,3.29,160.64,3,2.07,0.07,0,0.07,0.79,0.14,8.5,4.07,0.86,6.07,0,0,16.43,0.07,0.29,0.5
"Max Spencer","Gold Coast",8,"Defender",6.62,6.12,12.75,76.25,0,0.12,0,1,2.12,0.25,0.5,1.25,0.5,0.25,4.5,8.12,0,0.12,0.12,4.75,0.12,0,89.12,0,0.5,1.25,131.75,2.25,4.62,0,0.88,2.75,0,0,6.5,4.75,0,3.62,0,0.62,8.5,0,0.62,4.12
"Bernie Vince","Melbourne",36,"Interchange",12.08,6.69,18.78,71.81,0.08,0.14,0,2.69,2.56,1.64,1.28,2.69,0.64,0.89,5.56,12.33,0,0.08,0.06,2,0.25,0.19,84.11,0.31,0.97,3.47,263.92,3.86,4.69,0.22,0.36,0.86,0.03,0,7.06,8.17,0.08,4.47,0,0.69,11.11,0,1.33,1.33
"Cameron OShea","Carlton",11,"Defender",7.73,4,11.73,60.45,0,0,0.18,3,1.82,1.64,0.27,4.55,0.55,1.64,3,8.55,0,0.18,0,2.73,0.09,0.09,78.91,0,0.27,1.45,198,3.55,3.18,0.18,0.91,1.73,0,0,8.27,4.18,0.09,2.18,0.09,0.64,12.64,0.55,0.18,2
"Brendan Whitecross","Hawthorn",14,"Interchange",7.71,5.71,13.43,78.07,0.36,0.5,0,2.71,0.79,2,0.79,1.71,0.5,0.64,3.93,9.71,0,0.36,0.43,1.14,0,0.14,72.86,0.21,0.57,3.79,202.07,2,1.21,0.43,0.07,0.07,0.79,0.36,4.79,5.5,0.5,2.64,0,0.14,12.5,0,0.43,0.57
"Jordan Cunico","Geelong",15,"Interchange",11.47,6.47,17.93,70.73,0.27,0.4,0,2.07,1.93,3.87,1.4,1.6,0.13,0.33,5.4,12.67,0,0.2,0.13,0.8,0.47,0.6,81.47,0.13,1.27,4.13,348.67,3.4,2.47,0.6,0.07,0.13,0.13,0,5.67,7.47,0.73,4.6,0,0.2,11.33,0,0.87,0.27
"Jonathan ORourke","Hawthorn",3,"Interchange",6.67,10.67,17.33,71.67,0,0,0,2,1,2,1.33,2.67,0.33,1.33,5.67,12,0,0,0,2,0,0,68.33,0.33,1,2.67,139,3,2,0,0,0,0.33,0,7,3.67,0.67,4.33,0,0,12.33,0,0,1
"Mitch Honeychurch","Western Bulldogs",19,"Forward",7.95,6.79,14.74,70.79,0.21,0.68,0,4.53,0.84,2.53,1.16,2.58,1.74,1.21,5.58,9.68,0,0.26,0.68,1.16,0.11,0.47,81.47,0.32,0.79,4.58,194.47,3.26,1.95,1.05,0.05,0.11,1.05,0.16,6.42,4.47,0.58,3.47,0,0.26,16.58,0,0.68,0.58
"Rory Thompson","Gold Coast",24,"Defender",5.21,3.58,8.79,75.58,0,0.04,0.04,1.92,2,0.5,0,2.08,0.33,1.17,3.88,4.67,0,0.46,0.04,7.92,0,0,91.88,0,0,0.88,117.38,1.58,5.5,0.04,1.5,4.75,0.04,0,6.08,3.92,0.04,2.75,0,1.38,7.54,0.04,0.46,7.46
"Jake Barrett","Brisbane Lions",22,"Forward",5.55,8.45,14,74.45,0.86,0.5,0,4.27,0.18,1.36,0.73,2.05,0.5,0.86,5.09,9.23,0,0.09,0.68,0.64,0,0.59,81.55,0.18,0.5,4.95,116.73,2.45,0.95,1.5,0.05,0.05,0.5,0.18,5.77,3.32,1.59,4.18,0,0.05,15.55,0,0.59,0.27
