Player,Position
Mitch Hannan,Gen Fwd
Tim O'Brien,Key Fwd
Nathan Wilson,Gen Def
Steven Motlop,Mid
Kayne Turner,Gen Fwd
James Harmes,Mid
Cameron Ellis-Yolmen,Mid
Jake Lever,Key Def
Mark O'Connor,Gen Def
Marlion Pickett,Mid
Daniel McStay,Key Fwd
Sean Darcy,Ruck
Aidan Corr,Key Def
Ben King,Key Fwd
Josh Walker,Key Def
Will Hayward,Gen Fwd
Patrick Lipinski,Mid
Mitchell Lewis,Key Fwd
Jarrod Lienert,Key Def
Tommy Sheridan,Gen Fwd
Marley Williams,Gen Def
Kysaiah Pickett,Gen Fwd
Jackson Trengove,Key Def
Ben Keays,Mid
Paul Puopolo,Gen Fwd
Rory Atkins,Mid
Jack Watts,Key Def
Jackson Nelson,Gen Def
Josh Thomas,Gen Fwd
Jarrod Harbrow,Gen Def
Nick Larkey,Key Fwd
Dylan Moore,Gen Fwd
Tom Bellchambers,Ruck
Rory Sloane,Mid
Jordan Clark,Gen Def
Devon Smith,Mid
Kamdyn McIntosh,Mid
Daniel Rioli,Gen Fwd
Tom Cutler,Mid
Tom Williamson,Gen Def
Levi Greenwood,Gen Def
Matt de Boer,Mid
Grant Birchall,Gen Def
Zac Fisher,Mid
Luke Davies-Uniacke,Mid
Luke Brown,Gen Def
Shaun Atley,Gen Fwd
Tom Campbell,Ruck
Jesse Joyce,Gen Def
James Frawley,Key Def
Jesse Hogan,Key Fwd
Mason Cox,Key Fwd
Brandon Matera,Gen Fwd
Shaun Burgoyne,Mid
Cedric Cox,Gen Def
Esava Ratugolea,Key Fwd
Peter Wright,Key Fwd
Lachie Henderson,Key Def
Lachlan Murphy,Gen Fwd
Mitch Robinson,Mid
Jonathon Marsh,Key Def
Jack Redden,Mid
Tom McCartin,Key Fwd
Heath Shaw,Gen Def
Nakia Cockatoo,Gen Fwd
James Cousins,Mid
Tyson Stengle,Gen Fwd
Andrew Phillips,Ruck
Jason Castagna,Gen Fwd
James Stewart,Key Fwd
Jack Newnes,Gen Fwd
Tom Phillips,Mid
Aaron Hall,Mid
Reece Conca,Mid
Josh Caddy,Gen Fwd
Mitch McGovern,Key Fwd
Sam Day,Key Fwd
Tom Scully,Mid
Matthew Parker,Gen Fwd
Blake Hardwick,Gen Def
Dom Tyson,Mid
Sam Weideman,Key Fwd
Elliott Himmelberg,Key Fwd
Daniel Lloyd,Gen Fwd
Ben Crocker,Gen Fwd
Jonathon Patton,Key Fwd
Jack Sinclair,Mid
Taylor Garner,Gen Fwd
Lewis Melican,Key Def
Ben McKay,Key Def
Lachie Fogarty,Gen Fwd
Luke Dahlhaus,Gen Fwd
Oscar McDonald,Key Def
Robbie Fox,Gen Fwd
Ben Paton,Gen Def
Sam Mayes,Gen Def
Dean Kent,Gen Fwd
David Mackay,Gen Def
Mitchell Georgiades,Key Fwd
Jarrod Cameron,Gen Fwd
Paddy Dow,Gen Fwd
Sam Durdin,Key Def
Sam Draper,Ruck
Conor Glass,Gen Def
Taylin Duman,Gen Def
Ben Stratton,Gen Def
Dylan Clarke,Mid
Braydon Preuss,Ruck
Jordan Roughead,Key Def
Brendon Ah Chee,Gen Fwd
Darcy Cameron,Ruck
Ed Vickers-Willis,Gen Def
Patrick Ambrose,Key Def
Joel Smith,Gen Def
Lynden Dunn,Gen Def
Zac Langdon,Gen Fwd
Lachlan Ash,Gen Def
Jack Hombsch,Key Def
Daniel McKenzie,Gen Def
Charlie Spargo,Gen Fwd
Brandon Starcevich,Mid
Sam Jacobs,Ruck
Tom Green,Mid
Kade Kolodjashnij,Gen Def
Anthony Miles,Mid
Darcy Lang,Gen Fwd
Matthew Scharenberg,Gen Def
Kyron Hayden,Gen Fwd
Hayden Young,Gen Def
Shane Mumford,Ruck
Sam J. Reid,Key Fwd
Todd Marshall,Key Fwd
Josh Rotham,Key Def
Brennan Cox,Key Fwd
Billy Gowers,Gen Fwd
Jordan Gallucci,Gen Fwd
Brayden Sier,Mid
Daniel Howe,Mid
Tim Broomhead,Gen Fwd
Tom Hickey,Ruck
Billy Frampton,Ruck
Sam Naismith,Ruck
Harry Cunningham,Mid
Jake Waterman,Key Fwd
Tory Dickson,Gen Fwd
Adam Tomlinson,Mid
Harry Schoenberg,Mid
Michael Hartley,Key Def
Harry Morrison,Mid
Myles Poholke,Gen Fwd
Nathan Broad,Gen Def
Darren Minchington,Gen Fwd
Tarryn Thomas,Mid
Logan Austin,Key Def
Harrison Petty,Key Def
Martin Gleeson,Gen Def
Chris Mayne,Mid
Lachie Schultz,Gen Fwd
Bailey Scott,Mid
Darcy MacPherson,Mid
Jackson Thurlow,Mid
Nathan Jones,Mid
Bailey Banfield,Mid
Matt Guelfi,Mid
Mark Hutchings,Mid
Sam Simpson,Mid
George Horlin-Smith,Mid
Jake Aarts,Gen Fwd
Corey Wagner,Mid
Jackson Hately,Mid
Ed Phillips,Mid
Jordan Murdoch,Gen Fwd
Will Hoskin-Elliott,Gen Fwd
Rupert Wills,Mid
Lochie O'Brien,Mid
Laitham Vandermeer,Gen Def
Keegan Brooksby,Ruck
Ivan Soldo,Ruck
Isaac Cumming,Gen Def
Jye Caldwell,Mid
Brett Bewley,Mid
Riley Knight,Gen Fwd
Kaiden Brand,Key Def
Sam Switkowski,Gen Fwd
Sam Sturt,Gen Fwd
Nathan Vardy,Ruck
Tom Atkins,Mid
Adam Kennedy,Gen Def
Corey Ellis,Gen Def
Callum L. Brown,Gen Fwd
Jayden Laverde,Gen Fwd
Lewis Young,Key Def
Oleg Markov,Gen Def
Rhys Mathieson,Mid
Josh Schoenfeld,Gen Def
Jack Madgen,Key Def
Ethan Hughes,Gen Def
Alex Neal-Bullen,Gen Fwd
Zach Guthrie,Gen Def
Josh Begley,Gen Fwd
Mitchell Crowden,Gen Fwd
Travis Varcoe,Gen Fwd
Archie Smith,Ruck
Jake Kelly,Gen Def
Lin Jong,Mid
Chayce Jones,Mid
