Player_Name,PositionType
Sam Day,Forward
David Swallow,Midfield
Alex Sexton,Forward
Charlie Ballard,Defender
Touk Miller,Midfield
Ben Ainsworth,Forward
Brandon Ellis,Midfield
Caleb Graham,Defender
Ben King,Forward
Kade Simpson,Defender
Sam Walsh,Midfield
David Cuningham,Forward
Marc Pittonet,Ruck
Lachie Plowman,Defender
Cameron Polson,Forward
Tom De Koning,Forward
Michael Gibbons,Forward
Liam Jones,Defender
Mitch McGovern,Forward
Jack Newnes,Defender
Jacob Weitering,Defender
Tom Williamson,Defender
Harry McKay,Forward
Eddie Betts,Forward
Levi Casboult,Forward
Marc Murphy,Midfield
Patrick Cripps,Midfield
Jack Martin,Forward
Matthew Kennedy,Midfield
Ed Curnow,Midfield
Sam Petrevski-Seton,Forward
Darcy Fogarty,Forward
Josh Caddy,Midfield
Jack Ross,Interchange
Luke Brown,Defender
Brad Crouch,Midfield
Matt Crouch,Midfield
Harry Schoenberg,Interchange
Lachlan Sholl,Interchange
Rory Laird,Defender
Tom Lynch,Forward
David Mackay,Forward
Elliott Himmelberg,Forward
Ben Keays,Midfield
Jake Kelly,Defender
Andrew McPherson,Defender
Rory Sloane,Midfield
Daniel Talia,Defender
Kyle Hartigan,Defender
Shane McAdam,Forward
Reilly O'Brien,Ruck
Taylor Walker,Forward
Tyson Stengle,Forward
Brodie Smith,Defender
Chayce Jones,Forward
Brandon Zerk-Thatcher,Defender
Max Gawn,Ruck
Michael Hibberd,Defender
Alex Neal-Bullen,Forward
Clayton Oliver,Midfield
Christian Petracca,Forward
Kysaiah Pickett,Forward
Trent Rivers,Defender
Steven May,Defender
Jake Lever,Defender
Bayley Fritsch,Forward
Jayden Hunt,Defender
Ed Langdon,Midfield
Jake Melksham,Forward
Christian Salem,Defender
Charlie Spargo,Forward
Aaron vandenBerg,Interchange
Sam Weideman,Forward
Oskar Baker,Interchange
Mitch Brown,Forward
Joel Smith,Defender
Adam Tomlinson,Defender
Jack Viney,Midfield
Dylan Clarke,Interchange
Tom Cutler,Defender
Joe Daniher,Forward
Sam Draper,Ruck
Martin Gleeson,Defender
Matt Guelfi,Midfield
Brayden Ham,Midfield
Michael Hurley,Defender
Kyle Langford,Midfield
Jayden Laverde,Forward
Mason Redman,Defender
Will Snelling,Forward
Anthony McDonald-Tipungwuti,Forward
Zach Merrett,Midfield
Darcy Parish,Midfield
Jordan Ridley,Defender
Adam Saad,Defender
Dylan Shiel,Midfield
Devon Smith,Forward
James Stewart,Forward
Jake Stringer,Forward
Jeremy Finlayson,Forward
Jack Buckley,Interchange
Brent Daniels,Forward
Nick Haynes,Defender
Jake Riccardi,Forward
Heath Shaw,Defender
Tim Taranto,Midfield
Lachie Whitfield,Midfield
Zac Williams,Defender
Josh Kelly,Midfield
Harry Perryman,Forward
Sam J. Reid,Defender
Jeremy Cameron,Forward
Isaac Cumming,Defender
Stephen Coniglio,Midfield
Shane Mumford,Ruck
Lachlan Keeffe,Defender
Jacob Hopper,Midfield
Daniel Lloyd,Forward
Toby Greene,Forward
Connor Idun,Defender
Tom Green,Interchange
Jack Ziebell,Forward
Aaron Hall,Midfield
Todd Goldstein,Ruck
Luke Davies-Uniacke,Midfield
Jy Simpkin,Midfield
Jared Polec,Midfield
Cameron Zurhaar,Forward
Bailey Scott,Forward
Josh Walker,Defender
Trent Dumont,Midfield
Ed Vickers-Willis,Defender
Tom Murphy,Interchange
Luke McDonald,Defender
Nick Larkey,Forward
Taylor Garner,Forward
Shaun Atley,Defender
Jed Anderson,Midfield
Flynn Perez,Defender
Robbie Tarrant,Defender
Shaun Higgins,Midfield
Ben McKay,Defender
Sam Durdin,Defender
Bailey J. Williams,Interchange
Will Schofield,Defender
Luke Foley,Interchange
Josh Rotham,Defender
Darcy MacPherson,Forward
Nick Holman,Forward
Sean Lemmens,Forward
Callum L. Brown,Forward
Joel Amartey,Interchange
Mitchell Hinge,Interchange
Archie Smith,Interchange
Noah Answerth,Defender
Lewis Taylor,Forward
Sam Wicks,Forward
Daniel Howe,Midfield
Finn Maginness,Interchange
Toby McLean,Forward
Matthew Suckling,Defender
Jordon Butts,Defender
Sam Docherty,Defender
Zac Fisher,Forward
Will Setterfield,Midfield
Lochie O'Brien,Midfield
Billy Frampton,Forward
Bryce Gibbs,Midfield
Adam Kennedy,Defender
Harry Himmelberg,Forward
Matt de Boer,Forward
Neville Jetta,Defender
Andrew Phillips,Ruck
Kane Farrell,Forward
Mitchell Hibberd,Interchange
Jacob Townsend,Forward
Tobe Watson,Interchange
Mason Wood,Forward
Matt Taberner,Forward
Michael Walters,Forward
Aiden Bonar,Interchange
Lachie Fogarty,Forward
Ben Jarvis,Forward
Ivan Soldo,Ruck
Oleg Markov,Interchange
Bradley Close,Forward
Nick Hind,Forward
Jarrod Brander,Interchange
Hamish Brayshaw,Forward
Xavier O'Neill,Interchange
Connor Budarick,Defender
Sam Flanders,Forward
Matthew Owies,Interchange
Matthew Cottrell,Interchange
Hayden McLean,Ruck
Lachlan Murphy,Forward
Sam Jacobs,Ruck
Ian Hill,Interchange
Jackson Hately,Interchange
Jye Caldwell,Interchange
Lachlan Ash,Interchange
Aidan Corr,Defender
Toby Bedford,Forward
Braydon Preuss,Forward
Will Hayes,Forward
Tom Hickey,Ruck
Sam Lloyd,Forward
Lewis Jetta,Defender
Mark Hutchings,Midfield
Cale Hooker,Defender
Irving Mosquito,Forward
Dyson Heppell,Midfield
Josh Jenkins,Forward
Zach Guthrie,Interchange
Changkuoth Jiath,Defender
James Worpel,Midfield
Tom Scully,Midfield
Josh Morris,Interchange
Ryan Abbott,Ruck
Ed Phillips,Interchange
Cam Sutcliffe,Forward
Lachlan Hosie,Interchange
Marley Williams,Defender
Tom Fullarton,Interchange
Max Lynch,Forward
Tom Phillips,Midfield
Paddy Dow,Midfield
Josh Wagner,Defender
Angus Brayshaw,Midfield
Oscar McDonald,Defender
Nathan Jones,Midfield
James Harmes,Midfield
Thomson Dow,Interchange
Jack Higgins,Forward
Andrew McGrath,Midfield
Conor Glass,Interchange
Darren Minchington,Interchange
Jarman Impey,Defender
Oliver Hanrahan,Interchange
Myles Poholke,Interchange
Paul Ahern,Midfield
Majak Daw,Defender
Mitch Hannan,Forward
Connor Blakely,Midfield
Brett Bewley,Interchange
Justin Westhoff,Forward
Laitham Vandermeer,Forward
Tory Dickson,Forward
Nicholas Reid,Interchange
Jonathon Patton,Forward
Michael Hartley,Defender
Steele Sidebottom,Midfield
Trey Ruscoe,Interchange
Flynn Appleby,Defender
Tristan Xerri,Forward
Jack Mahony,Interchange
Callan Ward,Midfield
Alex Witherden,Defender
Jack Bytel,Interchange
Ben Crocker,Midfield
Jordan Clark,Interchange
Colin O'Riordan,Defender
Zac Foot,Interchange
Aaron Francis,Defender
Tom Bellchambers,Ruck
Sydney Stack,Forward
Mitchell Georgiades,Forward
Sam Mayes,Defender
Ben Cavarra,Interchange
Tom McDonald,Forward
Tom Sparrow,Interchange
Jay Lockhart,Forward
Brayden Fiorini,Midfield
James Sicily,Defender
Conor Nash,Interchange
Shaun McKernan,Forward
Kobe Mutch,Midfield
Conor McKenna,Defender
Josh Begley,Forward
Bailey Dale,Forward
Fischer McAsey,Defender
Rhylee West,Interchange
Paul Seedsman,Midfield
Josh Honey,Interchange
Ben Reid,Forward
Rupert Wills,Interchange
Lynden Dunn,Defender
Rhys Mathieson,Midfield
Matt Eagles,Defender
Will Walker,Interchange
Xavier O'Halloran,Forward
Zac Langdon,Forward
Tom Hutchesson,Interchange
Dane Rampe,Defender
David Zaharakis,Midfield
Tom Doedee,Defender
Ned McHenry,Forward
Tim Broomhead,Interchange
Brayden Sier,Interchange
Isaac Smith,Midfield
Jade Gresham,Forward
Jamie Macmillan,Defender
Luke Jackson,Forward
Jasper Pittard,Defender
Jarrod Cameron,Interchange
Elliot Yeo,Midfield
Derek Eggmolesse-Smith,Defender
Phil Davis,Defender
Matthew Ling,Interchange
Elijah Taylor,Forward
Will Hamill,Defender
Harley Bennell,Interchange
Ben Brown,Forward
Sam Skinner,Defender
Connor Ballenden,Interchange
Cody Weightman,Forward
Mark Keane,Defender
Brandon Matera,Forward
Pearce Hanley,Defender
Harry Edwards,Defender
Charlie Constable,Interchange
Matthew Parker,Interchange
Sam Gray,Forward
Rory Atkins,Midfield
Riley Knight,Forward
Kieran Strachan,Interchange
Curtis Taylor,Forward
Kyron Hayden,Defender
Ned Cahill,Forward
Callum Moore,Forward
Jackson Trengove,Defender
Billy Gowers,Forward
Darcy Tucker,Midfield
Bailey Banfield,Forward
Thomas Berry,Interchange
Atu Bosenavulagi,Interchange
Matthew Scharenberg,Defender
Keegan Brooksby,Defender
Patrick Naish,Interchange
Callum Porter,Interchange
Lachie Young,Interchange
Ryan Byrnes,Interchange
Ricky Henderson,Midfield
George Hewett,Forward
Chad Warner,Forward
Ryley Stoddart,Interchange
Orazio Fantasia,Forward
Darcy Fort,Ruck
Louis Butler,Interchange
Josh Schache,Forward
Isaac Heeney,Midfield
Tom Campbell,Forward
Tarryn Thomas,Forward
Hayden Young,Interchange
Will Kelly,Forward
Quinton Narkle,Interchange
Tommy Sheridan,Midfield
Harry Jones,Interchange
Griffin Logue,Defender
Sam Sturt,Forward
Lin Jong,Midfield
Ben Cunnington,Midfield
Matthew Rowell,Midfield
Ben Ronke,Forward
Jamaine Jones,Forward
Sam Philp,Interchange
Jack Silvagni,Forward
Sam Taylor,Defender
Jeremy Howe,Defender
Sam Naismith,Ruck
Kaiden Brand,Defender
Wayne Milera,Forward
Darcy Lang,Forward
Nic Newman,Defender
Marcus Adams,Defender
Deven Robertson,Interchange
Dylan Roberton,Defender
Luke Dunstan,Midfield
Jesse Joyce,Defender
Will Brodie,Midfield
Ben Davis,Forward
Cam McCarthy,Forward
Lewis Young,Defender
Matthew Kreuzer,Ruck
Luke Hodge,Defender
Allen Christensen,Midfield
Nick Robertson,Defender
Chris Masten,Midfield
Brett Deledio,Forward
Willie Rioli,Forward
Patrick Ambrose,Defender
Matthew Broadbent,Defender
Willem Drew,Midfield
Hugh Dixon,Forward
Joel Hamling,Defender
Scott Jones,Forward
Sam Switkowski,Forward
Ryan Nyhuis,Defender
Cedric Cox,Interchange
Richard Douglas,Midfield
Jacob Dawson,Defender
Aaron Young,Forward
Jordan Murdoch,Defender
Chris Burgess,Defender
Michael Rischitelli,Midfield
Josh Deluca,Forward
Dale Thomas,Defender
Scott Thompson,Defender
Kayne Turner,Forward
Corey Wagner,Interchange
Marty Hore,Defender
Jay Kennedy Harris,Interchange
Billy Stretch,Interchange
Nathan Hrovat,Midfield
Jordan Lewis,Defender
Sam Rowe,Defender
Jarrad McVeigh,Defender
Lance Franklin,Forward
Daniel Menzel,Forward
Kieren Jack,Forward
Nathan Brown,Defender
Tom Jok,Midfield
Jarryd Roughead,Forward
George Horlin-Smith,Interchange
Dawson Simpson,Ruck
Zach Sproule,Forward
Jake Stein,Defender
Zac Clarke,Forward
Hayden Ballantyne,Forward
Aaron Sandilands,Ruck
Kade Chandler,Interchange
Kyle Dunkley,Interchange
Andy Otten,Defender
Jason Carter,Defender
Mark Baguley,Defender
Ben McNiece,Defender
David Myers,Midfield
Jacob Heron,Interchange
Anthony Miles,Midfield
Harrison Petty,Forward
Angus Schumacher,Interchange
Hugh Goddard,Defender
Peter Wright,Forward
Daniel McKenzie,Defender
Doulton Langlands,Forward
Zac Smith,Ruck
Scott Selwood,Midfield
James Rose,Interchange
Jack Hombsch,Defender
Corey Ellis,Interchange
James Parsons,Forward
Dale Morris,Defender
Joel Garner,Defender
Tim Smith,Forward
Francis Watson,Defender
Patrick Wilson,Interchange
Matt Buntine,Interchange
Brad Scheer,Interchange
Caleb Marchbank,Defender
Jordan Gallucci,Forward
Charlie Curnow,Forward
David Armitage,Interchange
Jacob Allison,Interchange
Brandon White,Interchange
Connor Menadue,Interchange
Ryan Garthwaite,Defender
Jeff Garlett,Forward
Nathan Vardy,Ruck
Josh Smith,Defender
Liam Stocker,Interchange
Alex Fasolo,Forward
Darragh Joyce,Defender
Robbie Young,Forward
Josh Schoenfeld,Interchange
Alex Pearce,Defender
Dayne Beams,Midfield
Callum Coleman-Jones,Ruck
Daniel Wells,Interchange
Harrison Macreadie,Interchange
Joe Atley,Interchange
Fletcher Roberts,Defender
Tom Langdon,Defender
Daniel Venables,Interchange
Sam Wright,Defender
Aidyn Johnson,Forward
Jimmy Webster,Defender
Declan Keilty,Forward
Billy Longer,Ruck
David Mirra,Defender
Matthew Lobbe,Ruck
Dom Tyson,Midfield
Ryan Bastinac,Interchange
Kade Kolodjashnij,Defender
Jarrod Garlett,Interchange
Jack Watts,Forward
Maverick Weller,Forward
Lewis Pierce,Ruck
Heath Grundy,Defender
Alex Rance,Defender
Tyson Goldsack,Defender
Mark LeCras,Forward
Shaun Grigg,Midfield
Ryan Griffen,Midfield
Ryan Schoenmakers,Forward
Dan Robinson,Interchange
Sam Gilbert,Defender
Bailey Rice,Defender
Logan Austin,Defender
Jarrad Waite,Forward
Teia Miles,Interchange
Sam Kerridge,Midfield
Matthew Wright,Forward
Jed Lamb,Forward
Ciaran Byrne,Defender
Aaron Mullett,Defender
Michael Johnson,Defender
Shane Kersten,Forward
Nathan Murphy,Interchange
Brady Grey,Forward
Adam Oxley,Defender
Fergus Greene,Forward
Brad Lynch,Interchange
Brayden Crossley,Forward
Michael Barlow,Midfield
Jack Leslie,Defender
Brendon Goddard,Midfield
Matthew Leuenberger,Ruck
Jake Neade,Forward
Kyle Cheney,Interchange
Stefan Giro,Forward
Matt Dea,Defender
Jarrod Pickett,Forward
Nick Graham,Interchange
Alex Johnson,Defender
Cameron Pedersen,Forward
Nick Smith,Defender
Sam Murray,Defender
Nathan Freeman,Interchange
Jesse Lonergan,Interchange
Max Spencer,Defender
Bernie Vince,Midfield
Cameron OShea,Defender
Brendan Whitecross,Interchange
Jordan Cunico,Interchange
Jonathan ORourke,Interchange
Mitch Honeychurch,Forward
Rory Thompson,Defender
Jake Barrett,Forward
Lindsay Thomas,Forward
Jack Trengove,Interchange
Tom Boyd,Ruck
Matt Shaw,Midfield
Harrison Marsh,Defender
Alex Morgan,Forward
Jake Long,Forward
Shane Biggs,Interchange
Wylie Buzza,Forward
Ben Jacobs,Midfield
Michael Apeness,Ruck
Paddy McCartin,Forward
Nathan Wright,Forward
Curtly Hampton,Interchange
Dean Towers,Midfield
Will Langford,Midfield
Fraser McInnes,Interchange
Billy Hartung,Midfield
Josh Green,Forward
Cory Gregson,Forward
Sam Gibson,Midfield
Pat Kerr,Forward
Lukas Webb,Interchange
Aaron Black,Interchange
Danyle Pearce,Forward
Tim Mohr,Defender
Dylan Buckley,Defender
Stewart Crameri,Forward
Matt Rosa,Midfield
Jarryd Blair,Interchange
Dom Barry,Interchange
Nick Shipley,Interchange
Jackson Merrett,Forward
Tomas Bugg,Interchange
Cyril Rioli,Forward
Jack Redpath,Forward
Rohan Bewick,Midfield
Nakia Cockatoo,Forward
Koby Stevens,Midfield
Corey Maynard,Interchange
Tom Bell,Interchange
Steve Johnson,Forward
Andrew Mackie,Defender
Tom Lonergan,Defender
Matt Priddis,Midfield
Eric Mackenzie,Defender
Sharrod Wellingham,Defender
Drew Petrie,Forward
Sam Mitchell,Midfield
Luke Partington,Interchange
James Kelly,Defender
Jobe Watson,Midfield
Nick Riewoldt,Forward
Jonathon Griffin,Ruck
Nick Suban,Forward
Heath Hocking,Forward
Mitch Hallahan,Interchange
Kurt Tippett,Forward
Billie Smedts,Interchange
Dennis Armfield,Forward
Blaine Boekhorst,Midfield
Claye Beams,Interchange
Declan Mountford,Interchange
Lachlan Hansen,Defender
Michael Close,Forward
Andrew Swallow,Interchange
Kayle Kirby,Forward
Matthew Boyd,Interchange
Robert Murphy,Defender
Liam Picken,Forward
Dan Nielson,Defender
Craig Bird,Forward
Josh Hill,Interchange
Travis Cloke,Forward
Ben Howlett,Midfield
Daniel Currie,Ruck
Angus Monfries,Forward
Malcolm Karpany,Interchange
Jarrad Grant,Interchange
Josh Williams,Defender
Clay Smith,Interchange
Jarrad Jansen,Interchange
Simon White,Defender
Matt White,Interchange
Jordan Foote,Interchange
Tendai Mzungu,Interchange
Lee Spurr,Defender
Leigh Montagna,Midfield
Alex Silvagni,Defender
Liam Sumner,Forward
Kurt Heatherley,Defender
Kade Stewart,Interchange
Ciaran Sheehan,Defender
Taylor Hunt,Defender
Matthew Hammelmann,Forward
Ryan Davis,Midfield
Scott Thompson,Interchange
Jackson Ramsay,Defender
Jonathon Beech,Interchange
Sam Butler,Defender
Mitch White,Interchange
Mackenzie Willis,Interchange
Ryan Harwood,Interchange
Marco Paparone,Defender
Jimmy Toumpas,Interchange
Josh Gibson,Defender
Brent Stanton,Interchange
Ty Vickery,Forward
Dallas Willsmore,Forward
Garrick Ibbotson,Defender
Todd Elton,Forward
Kurt Mutimer,Interchange
Henry Schade,Defender
Jake Batchelor,Interchange
Troy Menzel,Interchange
Jack Fitzpatrick,Forward
Harley Balic,Interchange
Jonathan Giles,Ruck
Steven Morris,Interchange
Jeremy Laidler,Defender
Brandon Jack,Forward
Jake Spencer,Ruck
Liam Dawson,Defender
Tom Ruggles,Defender
Jesse White,Forward
Rhys Palmer,Interchange
Jack Frost,Defender
Brett Eddy,Interchange
Ben Lennon,Interchange
Zac Dawson,Defender
Josh Cowan,Interchange
Ben Griffiths,Forward
