Player,Team,Position,Rank
Cameron Zurhaar,N Melbourne,Gen Fwd,57.9
Zak Butters,P Adelaide,Mid,57.8
Ben Ainsworth,Gold Coast,Mid,57.8
Jack Graham,Richmond,Mid,57.4
Jack Scrimshaw,Hawthorn,Gen Def,57.2
Harry McKay,Carlton,Key Fwd,57.2
Kyle Langford,Essendon,Gen Fwd,56.9
Angus Brayshaw,Melbourne,Mid,56.8
Dan Hannebery,St Kilda,Mid,56.6
Jacob Hopper,GWS,Mid,56.6
Brad Ebert,P Adelaide,Mid,56.5
Josh Bruce,Bulldogs,Key Fwd,56.3
Nick Blakey,Sydney,Gen Fwd,56.2
Christian Salem,Melbourne,Gen Def,55.6
Brandan Parfitt,Geelong,Mid,55.4
Trent McKenzie,P Adelaide,Key Def,55.3
Shannon Hurn,West Coast,Gen Def,55.2
Caleb Serong,Fremantle,Mid,55.1
Jason Johannisen,Bulldogs,Gen Def,55.1
Zac Smith,Gold Coast,Ruck,55.1
Rory Thompson,Gold Coast,Key Def,55
Noah Anderson,Gold Coast,Mid,54.8
Lachie Plowman,Carlton,Gen Def,54.8
Caleb Marchbank,Carlton,Key Def,54.8
Shaun McKernan,Essendon,Key Fwd,54.7
Jonathon Ceglar,Hawthorn,Ruck,54.7
Neville Jetta,Melbourne,Gen Def,54.5
Taylor Walker,Adelaide,Key Fwd,54.2
Cam McCarthy,Fremantle,Key Fwd,54
Darcy Parish,Essendon,Mid,54
Allen Christensen,Brisbane,Gen Fwd,54
Taylor Duryea,Bulldogs,Gen Def,53.7
Kane Farrell,P Adelaide,Gen Fwd,53.5
Nick Hind,St Kilda,Gen Fwd,53.3
Sam Reid,Sydney,Key Fwd,53.2
Jed Bews,Geelong,Gen Def,52.9
Callum Ah Chee,Brisbane,Gen Def,52.7
Jake Riccardi,GWS,Key Fwd,52.6
Lewis Jetta,West Coast,Gen Def,52.6
Darcy Gardiner,Brisbane,Key Def,52.6
Kade Simpson,Carlton,Gen Def,52.5
Isaac Quaynor,Collingwood,Gen Def,52.4
Aaron Naughton,Bulldogs,Key Fwd,52.4
Callum Wilkie,St Kilda,Key Def,52.3
Riley Bonner,P Adelaide,Gen Def,52.2
Brent Daniels,GWS,Gen Fwd,52.1
Cam Rayner,Brisbane,Gen Fwd,52.1
Ryan Clarke,Sydney,Gen Def,52
Jack Silvagni,Carlton,Gen Fwd,52
Brayden Fiorini,Gold Coast,Mid,51.9
Shane McAdam,Adelaide,Gen Fwd,51.6
Mitch Brown,Melbourne,Key Fwd,51.3
Jacob Townsend,Essendon,Gen Fwd,51.3
Ryan Lester,Brisbane,Gen Def,51.2
James Aish,Fremantle,Gen Def,51.2
Oscar McInerney,Brisbane,Key Fwd,51
Easton Wood,Bulldogs,Gen Def,50.9
Eric Hipwood,Brisbane,Key Fwd,50.7
David Astbury,Richmond,Key Def,50.6
Ben Long,St Kilda,Gen Fwd,50.3
Michael Hibberd,Melbourne,Gen Def,49.9
John Noble,Collingwood,Gen Def,49.9
Tom Clurey,P Adelaide,Key Def,49.9
Marc Pittonet,Carlton,Ruck,49.8
Harry Taylor,Geelong,Key Def,49.8
Jamie Macmillan,N Melbourne,Gen Def,49.5
Bradley Hill,St Kilda,Mid,49.5
Will Day,Hawthorn,Gen Def,49.3
Brandon Ellis,Gold Coast,Mid,49.1
Daniel Talia,Adelaide,Key Def,49.1
Alex Sexton,Gold Coast,Gen Fwd,49
Paul Seedsman,Adelaide,Mid,48.9
Marty Hore,Melbourne,Gen Def,48.8
Callum Sinclair,Sydney,Ruck,48.6
Trent Dumont,N Melbourne,Mid,48.5
Aliir Aliir,Sydney,Key Def,48.4
Lewis Taylor,Sydney,Gen Fwd,48.2
Jack Bowes,Gold Coast,Mid,47.9
Ryan Burton,P Adelaide,Gen Def,47.8
Zac Bailey,Brisbane,Mid,47.6
Aaron Francis,Essendon,Key Def,47.5
Darcy Fogarty,Adelaide,Gen Fwd,47.3
Stephen Hill,Fremantle,Gen Def,47.3
Joe Daniher,Essendon,Key Fwd,47.3
Jeremy Finlayson,GWS,Key Fwd,47.1
Griffin Logue,Fremantle,Key Def,46.8
Ben Reid,Collingwood,Key Fwd,46.6
Noah Answerth,Brisbane,Gen Def,46.5
Matthew Kennedy,Carlton,Mid,46.4
Mason Wood,N Melbourne,Gen Fwd,46.4
Xavier Duursma,P Adelaide,Mid,46.3
Mason Redman,Essendon,Gen Def,46.3
Nick Holman,Gold Coast,Gen Fwd,46.2
Jasper Pittard,N Melbourne,Gen Def,46.2
Matthew Suckling,Bulldogs,Gen Def,45.8
Jake Melksham,Melbourne,Gen Fwd,45.7
Sydney Stack,Richmond,Mid,45.6
Josh Schache,Bulldogs,Key Fwd,45.3
Lincoln McCarthy,Brisbane,Gen Fwd,45.3
Jake Carlisle,St Kilda,Key Def,45
Sam Taylor,GWS,Key Def,44.6
James Rowbottom,Sydney,Mid,44.6
Jack Darling,West Coast,Key Fwd,44.3
Will Setterfield,Carlton,Mid,44.3
Darcy Tucker,Fremantle,Mid,44.2
Josh Battle,St Kilda,Key Fwd,44.2
David Cuningham,Carlton,Mid,43.9
Shane Savage,St Kilda,Gen Def,43.8
Will Snelling,Essendon,Gen Fwd,43.8
Karl Amon,P Adelaide,Mid,43.6
Will Brodie,Gold Coast,Mid,43.5
Wil Powell,Gold Coast,Gen Fwd,43.5
Justin McInerney,Sydney,Gen Def,43.4
Sam Gray,Sydney,Gen Fwd,43.2
Jack Henry,Geelong,Gen Def,43.1
Michael Gibbons,Carlton,Mid,42.9
Paul Ahern,N Melbourne,Mid,42.9
Sam Lloyd,Bulldogs,Gen Fwd,42.8
Harry Himmelberg,GWS,Key Fwd,42.8
Mabior Chol,Richmond,Key Fwd,42.8
Jayden Hunt,Melbourne,Gen Def,42.6
Mitch Hannan,Melbourne,Gen Fwd,42.5
Tim O'Brien,Hawthorn,Key Fwd,42.5
Nathan Wilson,Fremantle,Gen Def,42.1
Steven Motlop,P Adelaide,Mid,42.1
Kayne Turner,N Melbourne,Gen Fwd,42.1
James Harmes,Melbourne,Mid,41.9
Cameron Ellis-Yolmen,Brisbane,Mid,41.9
Jake Lever,Melbourne,Key Def,41.8
Mark O'Connor,Geelong,Gen Def,41.8
Marlion Pickett,Richmond,Mid,41.8
Daniel McStay,Brisbane,Key Fwd,41.7
Sean Darcy,Fremantle,Ruck,41.7
Aidan Corr,GWS,Key Def,41.5
Ben King,Gold Coast,Key Fwd,41.3
Josh Walker,N Melbourne,Key Def,41.3
Will Hayward,Sydney,Gen Fwd,41.2
Patrick Lipinski,Bulldogs,Mid,41.2
Mitchell Lewis,Hawthorn,Key Fwd,41
Jarrod Lienert,P Adelaide,Key Def,40.9
Tommy Sheridan,GWS,Gen Fwd,40.9
Marley Williams,N Melbourne,Gen Def,40.7
Kysaiah Pickett,Melbourne,Gen Fwd,40.7
Jackson Trengove,Bulldogs,Key Def,40.7
Ben Keays,Adelaide,Mid,40.7
Paul Puopolo,Hawthorn,Gen Fwd,40.7
Rory Atkins,Adelaide,Mid,40.5
Jack Watts,P Adelaide,Key Def,40.3
Jackson Nelson,West Coast,Gen Def,40.2
Josh Thomas,Collingwood,Gen Fwd,40.2
Jarrod Harbrow,Gold Coast,Gen Def,40.1
Nick Larkey,N Melbourne,Key Fwd,39.9
Dylan Moore,Hawthorn,Gen Fwd,39.8
Tom Bellchambers,Essendon,Ruck,39.5
Rory Sloane,Adelaide,Mid,39.4
Jordan Clark,Geelong,Gen Def,39.3
Devon Smith,Essendon,Mid,39.2
Kamdyn McIntosh,Richmond,Mid,38.3
Daniel Rioli,Richmond,Gen Fwd,38.2
Tom Cutler,Essendon,Mid,38.1
Tom Williamson,Carlton,Gen Def,38
Levi Greenwood,Collingwood,Gen Def,38
Matt de Boer,GWS,Mid,37.9
Grant Birchall,Brisbane,Gen Def,37.9
Zac Fisher,Carlton,Mid,37.8
Luke Davies-Uniacke,N Melbourne,Mid,37.6
Luke Brown,Adelaide,Gen Def,37.5
Shaun Atley,N Melbourne,Gen Fwd,37.4
Tom Campbell,N Melbourne,Ruck,37.2
Jesse Joyce,Gold Coast,Gen Def,37.1
James Frawley,Hawthorn,Key Def,37
Jesse Hogan,Fremantle,Key Fwd,36.9
Mason Cox,Collingwood,Key Fwd,36.9
Brandon Matera,Fremantle,Gen Fwd,36.5
Shaun Burgoyne,Hawthorn,Mid,36.5
Cedric Cox,Brisbane,Gen Def,36.4
Esava Ratugolea,Geelong,Key Fwd,36.4
Peter Wright,Gold Coast,Key Fwd,36.4
Lachie Henderson,Geelong,Key Def,36.3
Lachlan Murphy,Adelaide,Gen Fwd,36.3
Mitch Robinson,Brisbane,Mid,36.2
Jonathon Marsh,St Kilda,Key Def,36.2
Jack Redden,West Coast,Mid,36.1
Tom McCartin,Sydney,Key Fwd,36
Heath Shaw,GWS,Gen Def,36
Nakia Cockatoo,Geelong,Gen Fwd,35.8
James Cousins,Hawthorn,Mid,35.7
Tyson Stengle,Adelaide,Gen Fwd,35.7
Andrew Phillips,Essendon,Ruck,35.4
Jason Castagna,Richmond,Gen Fwd,35.3
James Stewart,Essendon,Key Fwd,35.2
Jack Newnes,Carlton,Gen Fwd,35.2
Tom Phillips,Collingwood,Mid,35.1
Aaron Hall,N Melbourne,Mid,34.6
Reece Conca,Fremantle,Mid,34.5
Josh Caddy,Richmond,Gen Fwd,34.5
Mitch McGovern,Carlton,Key Fwd,34.4
Sam Day,Gold Coast,Key Fwd,34.3
Tom Scully,Hawthorn,Mid,34.3
Matthew Parker,St Kilda,Gen Fwd,34.1
Blake Hardwick,Hawthorn,Gen Def,34
Dom Tyson,N Melbourne,Mid,34
Sam Weideman,Melbourne,Key Fwd,33.9
Elliott Himmelberg,Adelaide,Key Fwd,33.8
Daniel Lloyd,GWS,Gen Fwd,33.6
Ben Crocker,Adelaide,Gen Fwd,33.3
Jonathon Patton,Hawthorn,Key Fwd,33.3
Jack Sinclair,St Kilda,Mid,33.2
Taylor Garner,N Melbourne,Gen Fwd,33.1
